latitude,longitude,name,steder
55.557012,8.475831,Forum (Esbjerg),Forum (Esbjerg)
55.339946,8.676049,Kammerslusen,Kammerslusen
55.3947646,8.712519,Vildslev Enge,Vildslev Enge
55.6398086547852,12.5682563781738,Vestamager,Vestamager
55.3519897460938,11.6001892089844,Tystrup/Bavelse,Tystrup/Bavelse
57.590803,9.964974,Hirtshals,Hirtshals
56.012101,12.531076,Nyrup Hegn,Nyrup Hegn
55.5664367675781,12.2848749160767,mosede havn,mosede havn
55.511614,12.216269,Staunings Ø,Staunings Ø
54.763701,11.95878,falster,falster
56.0930366516113,12.4577169418335,Hornbæk havn,Hornbæk havn
56.0596469,12.574824,Julebæk,Julebæk
55.634014,12.629199,Kastrup,Kastrup
55.238321,11.783441,Frøstjernevej,Frøstjernevej
55.81769,12.536291,Nærum,Nærum
55.7866129,12.7173608,Øresund,Øresund
55.466489,8.452075,esbjerg,esbjerg-tur
56.008288,12.487073,krogenberg hegn,krogenberg hegn
54.576138,11.932216,gedser,gedser
56.0516242980957,12.5901689529419,højstrup,højstrup
55.945299,11.761388,rørvig,rørvig
55.9212203,11.7167365,hov vig,hov vig
55.961879,12.530546,Humlebæk,cykel gæ-ni-lang-hum-gæ
56.0012931823731,12.5378637313843,Mørdrup,Mørdrup
56.824735,8.670709,Dragstrup,Dragstrup
55.349967956543,11.5897760391235,Hørhave,Hørhave
55.9962,11.9676,Datjaen,Datjaen
56.012243,11.964819,Liseleje,Liseleje
55.045743,12.258469,Ulvshale,Ulvshale
55.158664,11.149494,Omø,Omø-tur
55.6516532897949,12.5774927139282,Amager Fælled,Amager Fælled
55.961879,12.530546,Humlebæk,gå ni-hum-gæ
56.2830964,10.4800518,Djursland,Djursland
55.794819,12.566273,Dyrehaven,Dyrehaven
55.572708,11.665405,Jonstrup,Jonstrup
55.961879,12.530546,Humlebæk,Tur 1 - Gæ-Hum-Gæ
55.9653358459473,11.887336730957,Ullerup Skov,Ullerup Skov
55.9656829833984,11.8476037979126,hundested havn,hundested havn
55.9771067,12.1313252,Arresø,Arresø
56.0197424,11.9916208,melby overdrev,melby overdrev
55.9312438964844,12.3255233764648,Nordsjælland,nytårstur 1
55.391844,12.350459,køge skov,køge skov
55.9946784973145,12.5472555160522,Kløvermarken,Kløvermarken
55.995883,11.988622,Nymånedalen,Nymånedalen
56.053112,12.562156,Teglstrup hegn,Teglstrup hegn
55.327112,11.95673,Haslev,Haslev
55.324597,10.347213,Fyn,Fyn
55.6733894348145,12.5926933288574,christianhavn,christianhavn
55.954805,11.897659,Halsnæs Kommune,Halsnæs Kommune
54.969788,12.424938,møn,mønstur
55.7244148254395,11.1764307022095,Saltbæk Vig,Saltbæk Vig
55.632181,12.371198,Vallensbæk,Vallensbæk
55.883299,12.500011,Hørsholm,"Arboretet, Hørsholm"
55.7035064697266,12.5622911453247,HC Ørsteds Instituttet,HCØ
55.854091,12.565312,Vedbæk,Vedbæk
55.674711,12.525023,Frederiksberg Have,Frederiksberg Have
55.6087579,10.6240794,Fynshoved,Fynshovedtur
54.996889,12.007096,Sydsjælland,Sydsjælland
55.985767364502,11.9763040542603,melby,melby
56.003583,11.94978,Hyllingebjerg,Hyllingebjerg
55.514014,10.238037,Nordfyn,Nordfyn
54.7783279418945,11.8597450256348,Lolland Falster,Lolland Falster
55.7381591796875,10.9123916625977,Røsnæs,Røsnæs
55.255478,12.382478,Stevns,Stevns
54.94323,10.777467,Langeland,Langeland
55.953778,12.250893,Strødam,Strødam
55.65523,12.561982,Sydhavnen,Sydhavnen
54.9316993086183,9.0242176006836,Sønderjylland,Sønderjylland
55.721672,11.22923,Vrøj,Vrøj
56.117882,10.504764,Ørby,Ørby
56.0433311462402,12.6049003601074,helsingør camping,helsingør camping
55.6720581054688,12.5909099578857,christianshavn torv,chr torv
55.6725463867187,12.5978212356567,volden,volden
39.78373,-100.445882,ugleskoven,ugleskoven
55.994655,12.547222,"Kløvermarken, Espergærde",NH
55.973704,12.021056,frederiksværk,frederiksværk
56.953543,13.074462,torup,torup
56.051243,12.378837,esrum,esrum 
55.944637,11.863106,lynæs,lynæs
55.974,12.405062,Fredensborg,Fredensborg område
55.624376,12.603853,amager,amager sydsjælland møn
55.6974333,12.5794268,søerne,søerne
