"id","turId","artId","antal"
"5036","695","607","1"
"5037","696","607","1"
"5038","686","609","1"
"5039","687","609","1"
"5040","688","609","1"
"5041","690","609","1"
"5042","693","609","1"
"5043","694","609","1"
"5044","695","609","1"
"5045","696","609","1"
"5046","686","604","1"
"5047","687","604","1"
"5048","689","604","1"
"5049","690","604","1"
"5050","691","604","1"
"5051","692","604","1"
"5052","693","604","1"
"5053","697","604","1"
"5054","699","1162","1"
"5055","686","1162","10"
"5056","687","1162","10"
"5057","688","1162","1"
"5058","689","1162","1"
"5059","690","1162","19"
"5060","691","1162","1"
"5061","692","1162","50"
"5062","693","1162","1"
"5063","694","1162","1"
"5064","697","1162","1"
"5065","695","1162","1"
"5066","696","1162","1"
"5067","698","1150","1"
"5068","686","1150","1"
"5069","687","1150","1"
"5070","688","1150","1"
"5071","689","1150","1"
"5072","690","1150","1"
"5073","691","1150","1"
"5074","692","1150","1"
"5075","693","1150","1"
"5076","694","1150","1"
"5077","697","1150","1"
"5078","695","1150","1"
"5079","696","1150","1"
"5080","694","1152","1"
"5081","689","1272","1"
"5082","690","1272","1"
"5083","691","1272","1"
"5084","692","1272","1"
"5085","693","1272","1"
"5086","696","1272","1"
"5087","686","1285","1"
"5088","689","1285","1"
"5089","692","1285","1"
"5090","686","1343","1"
"5091","687","1343","1"
"5092","688","1343","1"
"5093","689","1343","1"
"5094","690","1343","1"
"5095","691","1343","1"
"5096","692","1343","1"
"5097","693","1343","1"
"5098","694","1343","1"
"5099","697","1343","1"
"5100","695","1343","1"
"5101","696","1343","1"
"5102","686","1354","1"
"5103","687","1354","1"
"5104","688","1354","1"
"5105","689","1354","1"
"5106","690","1354","1"
"5107","691","1354","1"
"5108","692","1354","1"
"5109","693","1354","1"
"5110","694","1354","1"
"5111","698","1377","1"
"5112","686","1377","1"
"5113","688","1377","1"
"5114","690","1377","1"
"5115","692","1377","6"
"5116","693","1377","1"
"5117","694","1377","1"
"5118","697","1377","1"
"5119","696","1377","1"
"5120","686","1367","1"
"5121","687","1217","1"
"5122","689","1217","1"
"5123","690","1217","1"
"5124","691","1217","1"
"5125","693","1217","1"
"5126","694","1217","1"
"5127","697","1217","1"
"5128","695","1217","1"
"5129","686","1106","1"
"5130","689","1106","1"
"5131","691","1106","1"
"5132","692","1106","1"
"5133","694","1106","1"
"5134","694","1090","1"
"5135","686","1071","1"
"5136","687","1071","1"
"5137","688","1071","1"
"5138","689","1071","1"
"5139","690","1071","1"
"5140","691","1071","1"
"5141","692","1071","1"
"5142","693","1071","1"
"5143","694","1071","1"
"5144","697","1071","1"
"5145","695","1071","1"
"5146","696","1071","1"
"5147","688","293","1"
"5148","696","293","1"
"5149","686","390","1"
"5150","687","390","1"
"5151","688","390","1"
"5152","689","390","1"
"5153","690","390","1"
"5154","691","390","1"
"5155","692","390","1"
"5156","693","390","1"
"5157","694","390","1"
"5158","697","390","1"
"5159","695","390","1"
"5160","696","390","1"
"5161","691","1627","1"
"5162","697","1627","1"
"5163","694","1593","1"
"5164","686","1601","1"
"5165","687","1601","1"
"5166","688","1601","1"
"5167","689","1601","1"
"5168","690","1601","1"
"5169","692","1601","1"
"5170","693","1601","1"
"5171","694","1601","1"
"5172","697","1601","1"
"5173","695","1601","1"
"5174","696","1601","1"
"5175","691","1669","1"
"5176","691","1716","1"
"5177","699","1690","1"
"5178","686","1690","1"
"5179","687","1690","1"
"5180","689","1690","1"
"5181","690","1690","1"
"5182","691","1690","1"
"5183","693","1690","1"
"5184","697","1690","1"
"5185","696","1866","1"
"5186","691","1822","1"
"5187","692","1822","1"
"5188","695","1822","1"
"5189","696","1822","1"
"5190","693","1779","1"
"5191","686","1943","1"
