"id","brgrId","lokationId","dato","vindretning","vindstyrke","precipitation","cloud","temp","tid","bem"
"111","1","9","2004-03-04",,"0",,,"0",,
"112","1","10","2002-02-03",,"0",,,"0",,
"113","1","10","2004-01-01",,"0",,,"0",,
"114","1","10","2009-07-26",,"0",,,"0",,
"115","1","10","2009-03-07",,"0",,,"0",,
"116","1","10","2003-01-10",,"0",,,"0",,
"117","1","10","2004-01-02",,"0",,,"0",,
"118","1","10","2004-12-26",,"0",,,"0",,
"119","1","10","2005-01-02",,"0",,,"0",,
"120","1","10","2006-01-08",,"0",,,"0",,
"121","1","10","2006-11-10",,"0",,,"0",,
"122","1","10","2007-01-19",,"0",,,"0",,
"123","1","10","2007-01-27",,"0",,,"0",,
"124","1","10","2008-01-10",,"0",,,"0",,
"125","1","10","2010-02-28",,"0",,,"0",,
"126","1","10","2010-12-19",,"0",,,"0",,
"127","1","10","2011-01-02",,"0",,,"0",,
"128","1","10","2004-07-25",,"0",,,"0",,
"129","1","10","2004-07-30",,"0",,,"0",,
"130","1","10","2004-09-01",,"0",,,"0",,
"131","1","10","2004-09-29",,"0",,,"0",,
"132","1","10","2004-09-30",,"0",,,"0",,
"133","1","10","2009-07-19",,"0",,,"0",,
"134","1","10","2009-07-20",,"0",,,"0",,
"135","1","10","2009-07-25",,"0",,,"0",,
"136","1","10","2009-07-28",,"0",,,"0",,
"137","1","10","2009-08-03",,"0",,,"0",,
"138","1","10","2009-08-14",,"0",,,"0",,
"139","1","10","2009-08-21",,"0",,,"0",,
"140","1","10","2009-08-22",,"0",,,"0",,
"141","1","10","2009-08-30",,"0",,,"0",,
"142","1","10","2010-02-20",,"0",,,"0",,
"143","1","10","2010-06-12",,"0",,,"0",,
"144","1","10","2010-08-09",,"0",,,"0",,
"145","1","10","2010-10-08",,"0",,,"0",,
"146","1","10","2010-10-13",,"0",,,"0",,
"147","1","10","2011-02-11",,"0",,,"0",,
"148","1","10","2003-01-01",,"0",,,"0",,
"149","1","10","2002-01-01",,"0",,,"0",,
"150","1","10","2003-12-13",,"0",,,"0",,
"151","1","10","2004-07-23",,"0",,,"0",,
"152","1","10","2008-02-17",,"0",,,"0",,
"153","1","10","2011-06-27",,"0",,,"0",,
"154","1","10","2002-05-21",,"0",,,"0",,
"155","1","10","2003-10-06",,"0",,,"0",,
"156","1","10","2004-10-06",,"0",,,"0",,
"157","1","10","2004-10-25",,"0",,,"0",,
"158","1","10","2002-04-22",,"0",,,"0",,
"159","1","10","2003-12-12",,"0",,,"0",,
"160","1","10","2002-01-28",,"0",,,"0",,
"161","1","10","2004-02-09",,"0",,,"0",,
"162","1","10","2011-07-27",,"0",,,"0",,
"163","1","10","2004-04-15",,"0",,,"0",,
"164","1","10","2006-05-02",,"0",,,"0",,
"165","1","10","2002-03-01",,"0",,,"0",,
"166","1","10","1980-06-01",,"0",,,"0",,
"167","1","10","2001-04-01",,"0",,,"0",,
"168","1","10","2002-02-15",,"0",,,"0",,
"169","1","10","2011-07-14",,"0",,,"0",,
"170","1","10","2003-01-13",,"0",,,"0",,
"171","1","10","2002-02-04",,"0",,,"0",,
"172","1","10","2004-04-25",,"0",,,"0",,
"173","1","10","2011-09-04",,"0",,,"0",,
"174","1","10","2012-01-27",,"0",,,"0",,
"175","1","10","2001-03-14",,"0",,,"0",,
"176","1","10","2004-09-16",,"0",,,"0",,
"177","1","10","2001-03-11",,"0",,,"0",,
"178","1","10","2003-04-01",,"0",,,"0",,
"179","1","10","2002-03-28",,"0",,,"0",,
"180","1","10","2004-08-25",,"0",,,"0",,
"181","1","10","2004-08-31",,"0",,,"0",,
"182","1","10","2004-03-01",,"0",,,"0",,
"183","1","10","2005-04-30",,"0",,,"0",,
"184","1","10","2008-03-02",,"0",,,"0",,
"185","1","10","2004-08-24",,"0",,,"0",,
"186","1","10","2001-07-30",,"0",,,"0",,
"187","1","10","2003-07-18",,"0",,,"0",,
"188","1","10","2003-02-15",,"0",,,"0",,
"189","1","10","2004-08-19",,"0",,,"0",,
"190","1","10","2009-07-18",,"0",,,"0",,
"191","1","10","2003-07-29",,"0",,,"0",,
"192","1","10","2002-04-14",,"0",,,"0",,
"193","1","10","2003-07-30",,"0",,,"0",,
"194","1","10","2004-04-30",,"0",,,"0",,
"195","1","10","2001-05-07",,"0",,,"0",,
"196","1","10","2002-05-17",,"0",,,"0",,
"197","1","10","2002-03-26",,"0",,,"0",,
"198","1","10","2008-09-06",,"0",,,"0",,
"199","1","10","2001-06-06",,"0",,,"0",,
"200","1","10","2002-04-30",,"0",,,"0",,
"201","1","10","2004-05-18",,"0",,,"0",,
"202","1","10","2001-06-11",,"0",,,"0",,
"203","1","10","2004-10-07",,"0",,,"0",,
"204","1","10","2002-12-27",,"0",,,"0",,
"205","1","10","2003-10-20",,"0",,,"0",,
"206","1","10","2006-06-20",,"0",,,"0",,
"207","1","10","2008-02-03",,"0",,,"0",,
"208","1","10","2003-10-09",,"0",,,"0",,
"209","1","10","2004-09-22",,"0",,,"0",,
"210","1","10","2004-09-27",,"0",,,"0",,
"211","1","10","2006-04-20",,"0",,,"0",,
"212","1","10","2002-03-11",,"0",,,"0",,
"213","1","10","2006-01-01",,"0",,,"0",,
"214","1","10","2002-04-10",,"0",,,"0",,
"215","1","10","2001-10-29",,"0",,,"0",,
"216","1","10","2003-03-14",,"0",,,"0",,
"217","1","10","2004-02-08",,"0",,,"0",,
"218","1","10","2006-12-20",,"0",,,"0",,
"219","1","10","2003-05-28",,"0",,,"0",,
"220","1","10","2001-04-27",,"0",,,"0",,
"221","1","10","2003-12-14",,"0",,,"0",,
"222","1","10","2003-04-02",,"0",,,"0",,
"223","1","10","2003-01-17",,"0",,,"0",,
"224","1","10","2008-10-07",,"0",,,"0",,
"225","1","10","2003-03-13",,"0",,,"0",,
"226","1","10","2004-03-17",,"0",,,"0",,
"227","1","10","2001-04-26",,"0",,,"0",,
"228","1","10","2003-03-28",,"0",,,"0",,
"229","1","11","2001-03-27",,"0",,,"0",,
"230","1","11","1960-01-01",,"0",,,"0",,
"231","1","12","2007-09-09",,"0",,,"0",,
"232","1","12","2009-08-22",,"0",,,"0",,
"233","1","12","2002-02-12",,"0",,,"0",,
"234","1","12","2001-01-28",,"0",,,"0",,
"235","1","12","2002-02-24",,"0",,,"0",,
"236","1","12","2003-08-23",,"0",,,"0",,
"237","1","12","2004-10-31",,"0",,,"0",,
"238","1","12","1960-01-01",,"0",,,"0",,
"239","1","13","2011-11-11",,"0",,,"0",,
"240","1","13","2012-01-15",,"0",,,"0",,
"241","1","13","2007-10-25",,"0",,,"0",,
"242","1","14","2001-04-09",,"0",,,"0",,
"243","1","14","2001-04-05",,"0",,,"0",,
"244","1","14","2001-04-07",,"0",,,"0",,
"245","1","15","2005-11-19",,"0",,,"0",,
"246","1","15","2005-11-20",,"0",,,"0",,
"247","1","15","2001-04-14",,"0",,,"0",,
"248","1","15","2005-10-08",,"0",,,"0",,
"249","1","15","2005-05-07",,"0",,,"0",,
"250","1","15","2005-11-18",,"0",,,"0",,
"251","1","15","1960-01-01",,"0",,,"0",,
"252","1","16","2001-04-23",,"0",,,"0",,
"253","1","16","2004-05-02",,"0",,,"0",,
"254","1","16","2007-03-24",,"0",,,"0",,
"255","1","16","2006-04-22",,"0",,,"0",,
"256","1","16","1960-01-01",,"0",,,"0",,
"257","1","16","2001-04-20",,"0",,,"0",,
"258","1","16","2006-05-17",,"0",,,"0",,
"259","1","16","2007-04-10",,"0",,,"0",,
"260","1","16","2002-01-27",,"0",,,"0",,
"261","1","16","2001-05-01",,"0",,,"0",,
"262","1","16","2001-04-24",,"0",,,"0",,
"263","1","16","2002-10-21",,"0",,,"0",,
"264","1","16","2009-01-18",,"0",,,"0",,
"265","1","16","2001-04-30",,"0",,,"0",,
"266","1","16","2001-04-28",,"0",,,"0",,
"267","1","16","2002-04-29",,"0",,,"0",,
"268","1","16","2002-04-22",,"0",,,"0",,
"269","1","16","2001-04-29",,"0",,,"0",,
"270","1","16","2008-09-26",,"0",,,"0",,
"271","1","16","2002-05-06",,"0",,,"0",,
"272","1","16","2002-05-09",,"0",,,"0",,
"273","1","17","2012-01-11",,"0",,,"0",,
"274","1","17","2006-01-03",,"0",,,"0",,
"275","1","17","2002-01-10",,"0",,,"0",,
"276","1","17","2008-12-26",,"0",,,"0",,
"277","1","17","2011-03-19",,"0",,,"0",,
"278","1","17","2002-01-16",,"0",,,"0",,
"279","1","17","2008-10-15",,"0",,,"0",,
"280","1","17","1989-02-07",,"0",,,"0",,
"281","1","17","2008-02-12",,"0",,,"0",,
"282","1","17","2005-01-13",,"0",,,"0",,
