"id","latinFamilie","familieSort"
"240","Bucorvus","4302"
"241","Buettikoferella","8248"
"242","Bulweria","773"
"243","Buphagus","9362"
"244","Burhinus","1706"
"245","Busarellus","1353"
"246","Butastur","1331"
"247","Buteo","1394"
"248","Buteogallus","1351"
"249","Buthraupis","11463"
"250","Butorides","939"
"251","Bycanistes","4297"
"252","Cacatua","2527"
"253","Cacicus","11048"
"254","Cacomantis","3043"
"255","Cairina","509"
"256","Calamanthus","6498"
"257","Calamonastes","8054"
"258","Calamospiza","11208"
"259","Calandrella","7881"
"260","Calcarius","11205"
"261","Calicalicus","6744"
"262","Calidris","1928"
"263","Callacanthis","10773"
"264","Callaeas","6606"
"265","Callipepla","186"
"266","Calliphlox","3962"
"267","Callocephalon","2514"
"268","Callonetta","520"
"269","Calochaetes","11451"
"270","Calocitta","7361"
"271","Caloenas","2314"
"272","Calonectris","744"
"273","Caloperdix","352"
"274","Calorhamphus","4400"
"275","Calothorax","3965"
"276","Calypte","3971"
"277","Calyptocichla","8147"
"278","Calyptomena","4793"
"279","Calyptophilus","11812"
"280","Calyptorhynchus","2513"
"281","Calyptura","5002"
"282","Camarhynchus","11774"
"283","Camaroptera","8049"
"284","Campephaga","6885"
"285","Campephilus","4681"
"286","Campethera","4553"
"287","Campochaera","6868"
"288","Camptorhynchus","601"
"289","Camptostoma","5055"
"290","Campylopterus","3650"
"291","Campylorhamphus","6201"
"292","Campylorhynchus","9040"
"293","Canirallus","1494"
"294","Capito","4365"
"295","Caprimulgus","3448"
"296","Capsiempis","5080"
"297","Caracara","1085"
"298","Cardellina","10958"
"299","Cardinalis","11833"
"300","Carduelis","10765"
"301","Cariama","1474"
"302","Caridonax","4100"
"303","Carpococcyx","2962"
"304","Carpodacus","10806"
"305","Carpodectes","4989"
"306","Carpornis","4940"
"307","Carpospiza","10186"
"308","Caryothraustes","11835"
"309","Casiornis","5443"
"310","Casuarius","64"
"311","Catamblyrhynchus","11819"
"312","Catamenia","11750"
"313","Cataponera","9427"
"314","Catharopeza","10925"
"315","Cathartes","1071"
"316","Catharus","9463"
"317","Catherpes","9044"
"318","Catoptrophorus","1901"
"319","Catreus","394"
