"id","latinFamilie","familieSort"
"1018","Latoucheornis","11154"
"1019","Legatus","5401"
"1020","Leiothrix","8784"
"1021","Leipoa","83"
"1022","Lemuresthes","10459"
"1023","Leonardina","8547"
"1024","Lepidocolaptes","6196"
"1025","Lepidopyga","3744"
"1026","Lepidothrix","4864"
"1027","Leptasthenura","5923"
"1028","Leptocoma","10052"
"1029","Leptodon","1152"
"1030","Leptopoecile","7798"
"1031","Leptopogon","5143"
"1032","Leptopterus","6752"
"1033","Leptoptilos","859"
"1034","Leptosittaca","2757"
"1035","Leptosomus","4075"
"1036","Leptotila","2291"
"1037","Lerwa","237"
"1038","Lesbia","3907"
"1039","Lessonia","5319"
"1040","Leucippus","3762"
"1041","Leucocarbo","1062"
"1042","Leucochloris","3753"
"1043","Leuconerpes","4511"
"1044","Leucopeza","10954"
"1045","Leucophaeus","1958"
"1046","Leucopsar","9295"
"1047","Leucopternis","1345"
"1048","Leucosarcia","2247"
"1049","Leucosticte","10772"
"1050","Lewinia","1557"
"1051","Lichenostomus","6313"
"1052","Lichmera","6415"
"1053","Limicola","1930"
"1054","Limnoctites","6044"
"1055","Limnodromus","1871"
"1056","Limnornis","6043"
"1057","Limnothlypis","10930"
"1058","Limosa","1875"
"1059","Linurgus","10692"
"1060","Liocichla","8782"
"1061","Lioptilus","8827"
"1062","Liosceles","5742"
"1063","Lipaugus","4979"
"1064","Lissotis","1465"
"1065","Loboparadisea","6588"
"1066","Lobotos","6887"
"1067","Lochmias","6122"
"1068","Locustella","8337"
"1069","Loddigesia","3949"
"1070","Lonchura","10502"
"1071","Lophaetus","1423"
"1072","Lophodytes","618"
"1073","Lophoictinia","1167"
"1074","Lopholaimus","2473"
"1075","Lophonetta","521"
"1076","Lophophanes","7622"
"1077","Lophophorus","370"
"1078","Lophorina","7505"
"1079","Lophornis","3689"
"1080","Lophospingus","11636"
"1081","Lophostrix","3226"
"1082","Lophotibis","891"
"1083","Lophotis","1461"
"1084","Lophotriccus","5202"
"1085","Lophozosterops","9002"
"1086","Lophura","389"
"1087","Loriculus","2500"
"1088","Lorius","2562"
"1089","Loxia","10816"
"1090","Loxigilla","11760"
"1091","Loxioides","10841"
"1092","Loxipasser","11756"
"1093","Loxops","10868"
"1094","Lullula","7900"
"1095","Lurocalis","3355"
"1096","Luscinia","9621"
"1097","Lybius","4447"
"1098","Lycocorax","7482"
"1099","Lymnocryptes","1849"
"1100","Lyrurus","224"
"1101","Lysurus","11316"
"1102","Macgregoria","6381"
"1103","Machaerirhynchus","6741"
"1104","Machaeropterus","4854"
"1105","Macheiramphus","1170"
"1106","Machetornis","5400"
"1107","Mackenziaena","5488"
"1108","Macroagelaius","11091"
"1109","Macrocephalon","84"
"1110","Macrodipteryx","3450"
"1111","Macronectes","680"
"1112","Macronous","8669"
"1113","Macronyx","10583"
"1114","Macropsalis","3455"
"1115","Macropygia","2217"
"1116","Macrosphenus","8398"
"1117","Madanga","8996"
"1118","Malacocincla","8565"
"1119","Malaconotus","6686"
"1120","Malacopteron","8571"
"1121","Malacoptila","4766"
"1122","Malacorhynchus","507"
"1123","Malcorus","7976"
"1124","Malia","8884"
"1125","Malimbus","10297"
"1126","Malurus","6263"
"1127","Manacus","4870"
"1128","Mandingoa","10358"
"1129","Manorina","6337"
"1130","Manucodia","7486"
"1131","Margaroperdix","308"
"1132","Margarops","9227"
"1133","Margarornis","6060"
"1134","Marmaronetta","583"
"1135","Mascarinus","2485"
"1136","Masius","4847"
"1137","Mayrornis","7254"
"1138","Mearnsia","3527"
"1139","Mecocerculus","5064"
"1140","Megabyas","6630"
"1141","Megaceryle","4175"
"1142","Megacrex","1615"
"1143","Megadyptes","646"
"1144","Megalaima","4399"
"1145","Megalurulus","8255"
"1146","Megalurus","8244"
"1147","Megapodius","104"
"1148","Megarynchus","5420"
"1149","Megascops","3172"
"1150","Megastictus","5534"
"1151","Megatriorchis","1325"
"1152","Megaxenops","6128"
"1153","Megazosterops","9007"
"1154","Meiglyptes","4715"
"1155","Melaenornis","9801"
"1156","Melampitta","7479"
"1157","Melamprosops","10876"
"1158","Melanerpes","4534"
"1159","Melanitta","612"
"1160","Melanocharis","6594"
"1161","Melanochlora","7661"
"1162","Melanocorypha","7867"
"1163","Melanodera","11631"
"1164","Melanodryas","7550"
"1165","Melanopareia","5733"
"1166","Melanoperdix","309"
"1167","Melanoptila","9192"
"1168","Melanospiza","11762"
"1169","Melanotis","9225"
"1170","Meleagris","214"
"1171","Meliarchus","6392"
"1172","Melichneutes","4471"
"1173","Melidectes","6391"
"1174","Melidora","4083"
"1175","Melierax","1263"
"1176","Melignomon","4459"
"1177","Melilestes","6401"
"1178","Meliphaga","6328"
"1179","Melipotes","6380"
"1180","Melithreptus","6346"
"1181","Melitograis","6352"
"1182","Mellisuga","3967"
"1183","Melocichla","8325"
"1184","Melophus","11153"
"1185","Melopsittacus","2633"
"1186","Melopyrrha","11745"
"1187","Melospiza","11212"
"1188","Melozone","11292"
"1189","Menura","6204"
"1190","Merganetta","485"
"1191","Mergellus","617"
"1192","Mergus","623"
"1193","Meropogon","4202"
"1194","Merops","4226"
"1195","Merulaxis","5745"
"1196","Mesembrinibis","884"
"1197","Mesitornis","1471"
"1198","Metabolus","7260"
"1199","Metallura","3930"
"1200","Metopidius","1828"
"1201","Metopothrix","6048"
"1202","Metriopelia","2278"
"1203","Micrastur","1095"
"1204","Micrathene","3267"
"1205","Microbates","9130"
"1206","Microcerculus","9121"
"1207","Microchera","3805"
"1208","Microdynamis","3010"
"1209","Microeca","7560"
"1210","Microgoura","2246"
"1211","Microhierax","1103"
"1212","Microligea","10951"
"1213","Micromacronus","8671"
"1214","Micromonacha","4767"
"1215","Micronisus","1264"
"1216","Microparra","1823"
"1217","Micropsitta","2506"
"1218","Micropygia","1498"
"1219","Microrhopias","5613"
"1220","Microscelis","8212"
"1221","Microstilbon","3963"
"1222","Milvago","1087"
"1223","Milvus","1189"
"1224","Mimizuku","3177"
"1225","Mimodes","9211"
"1226","Mimus","9203"
"1227","Minla","8803"
"1228","Mino","9267"
"1229","Mionectes","5139"
"1230","Mirafra","7841"
"1231","Mitrephanes","5283"
"1232","Mitrospingus","11376"
"1233","Mitu","156"
"1234","Mniotilta","10926"
"1235","Modulatrix","8886"
"1236","Moho","6285"
"1237","Mohoua","6571"
"1238","Molothrus","11117"
"1239","Momotus","4192"
"1240","Monachella","7553"
"1241","Monarcha","7294"
"1242","Monasa","4780"
"1243","Monias","1472"
"1244","Monticola","9788"
"1245","Montifringilla","10194"
"1246","Morococcyx","2921"
"1247","Morphnus","1395"
"1248","Morus","1009"
"1249","Motacilla","10574"
"1250","Moupinia","8675"
"1251","Mulleripicus","4721"
"1252","Muscicapa","9846"
"1253","Muscicapella","9919"
"1254","Muscigralla","5399"
"1255","Muscipipra","5374"
"1256","Muscisaxicola","5352"
"1257","Musophaga","2907"
"1258","Myadestes","9444"
"1259","Mycerobas","10832"
"1260","Mycteria","843"
"1261","Myiagra","7320"
"1262","Myiarchus","5470"
"1263","Myiobius","5256"
"1264","Myioborus","10976"
"1265","Myiodynastes","5419"
"1266","Myiomela","9700"
"1267","Myiopagis","5026"
"1268","Myioparus","9848"
"1269","Myiophobus","5162"
"1270","Myiopsitta","2788"
"1271","Myiornis","5194"
"1272","Myiotheretes","5369"
"1273","Myiotriccus","5163"
"1274","Myiozetetes","5407"
"1275","Myophonus","9377"
"1276","Myornis","5746"
"1277","Myospiza","11246"
"1278","Myrmeciza","5695"
"1279","Myrmecocichla","9770"
"1280","Myrmia","3976"
"1281","Myrmoborus","5658"
"1282","Myrmochanes","5665"
"1283","Myrmorchilus","5595"
"1284","Myrmornis","5697"
"1285","Myrmothera","5854"
"1286","Myrmotherula","5593"
"1287","Myrtis","3974"
"1288","Mystacornis","6764"
"1289","Myza","6400"
"1290","Myzomela","6465"
"1291","Myzornis","8883"
"1292","Namibornis","9668"
"1293","Nandayus","2756"
"1294","Nannopsittaca","2811"
"1295","Napothera","8617"
"1296","Nasica","6146"
"1297","Neafrapus","3536"
"1298","Necropsar","9312"
"1299","Necrosyrtes","1205"
"1300","Nectarinia","10059"
"1301","Nemosia","11372"
"1302","Neochelidon","7729"
"1303","Neochen","494"
"1304","Neochmia","10436"
"1305","Neocichla","9360"
"1306","Neocossyphus","9365"
"1307","Neocrex","1609"
"1308","Neoctantes","5535"
"1309","Neodrepanis","4808"
"1310","Neolalage","7255"
"1311","Neolestes","8225"
"1312","Neomixis","8059"
"1313","Neomorphus","2928"
"1314","Neopelma","5263"
"1315","Neophema","2631"
"1316","Neophron","1204"
"1317","Neopipo","5258"
"1318","Neopsephotus","2625"
"1319","Neopsittacus","2589"
"1320","Neospiza","10691"
"1321","Neothraupis","11483"
"1322","Neotis","1452"
"1323","Neoxolmis","5372"
"1324","Nephelornis","11412"
"1325","Nesasio","3312"
"1326","Nesillas","8324"
"1327","Nesocharis","10350"
"1328","Nesocichla","9567"
"1329","Nesoclopeus","1521"
"1330","Nesoctites","4510"
"1331","Nesoenas","2190"
"1332","Nesofregetta","782"
"1333","Nesomimus","9209"
"1334","Nesopsar","11088"
"1335","Nesospingus","11808"
"1336","Nesospiza","11640"
"1337","Nesotriccus","5083"
"1338","Nestor","2483"
"1339","Netta","587"
"1340","Nettapus","518"
"1341","Newtonia","6762"
"1342","Nicator","8228"
"1343","Nigrita","10347"
"1344","Nilaus","6738"
"1345","Niltava","9918"
"1346","Ninox","3307"
"1347","Nipponia","872"
"1348","Nomonyx","625"
"1349","Nonnula","4773"
"1350","Northiella","2619"
"1351","Notharchus","4748"
"1352","Nothocercus","9"
"1353","Nothocrax","152"
"1354","Nothoprocta","43"
"1355","Nothura","48"
"1356","Notiochelidon","7725"
"1357","Notiomystis","6287"
"1358","Nucifraga","7419"
"1359","Numenius","1884"
"1360","Numida","172"
"1361","Nyctanassa","936"
"1362","Nyctibius","3351"
"1363","Nycticorax","934"
"1364","Nycticryphes","1821"
"1365","Nyctidromus","3372"
"1366","Nyctiphrynus","3379"
"1367","Nyctiprogne","3362"
"1368","Nyctyornis","4201"
"1369","Nymphicus","2528"
"1370","Nystalus","4757"
"1371","Oceanites","777"
"1372","Oceanodroma","798"
"1373","Ochthoeca","5396"
"1374","Ochthornis","5335"
"1375","Ocreatus","3905"
"1376","Oculocincta","9003"
"1377","Ocyalus","11034"
"1378","Ocyceros","4266"
"1379","Ocyphaps","2238"
"1380","Odontophorus","206"
"1381","Odontorchilus","9042"
"1382","Oedistoma","6597"
"1383","Oena","2228"
"1384","Oenanthe","9754"
"1385","Ognorhynchus","2727"
"1386","Oligura","8261"
"1387","Oncostoma","5196"
"1388","Onychognathus","9353"
"1389","Onychorhynchus","5250"
"1390","Onychostruthus","10195"
"1391","Ophrysia","360"
"1392","Opisthocomus","2888"
"1393","Opisthoprora","3936"
"1394","Oporornis","10937"
"1395","Orchesticus","11362"
"1396","Oreocharis","6600"
"1397","Oreoica","7134"
"1398","Oreomanes","11589"
"1399","Oreomystis","10859"
"1400","Oreonympha","3912"
"1401","Oreophasis","151"
"1402","Oreophilais","8004"
"1403","Oreopholus","1815"
"1404","Oreophylax","5932"
"1405","Oreopsittacus","2587"
"1406","Oreornis","6315"
"1407","Oreortyx","182"
"1408","Oreoscoptes","9210"
"1409","Oreoscopus","6501"
"1410","Oreostruthus","10430"
"1411","Oreothraupis","11612"
"1412","Oreotrochilus","3857"
"1413","Origma","6492"
"1414","Oriolia","6746"
"1415","Oriolus","7115"
"1416","Oriturus","11277"
"1417","Ornithion","5053"
"1418","Oroaetus","1439"
"1419","Ortalis","122"
"1420","Orthogonys","11381"
"1421","Orthonyx","6584"
"1422","Orthopsittaca","2719"
"1423","Orthorhyncus","3674"
"1424","Orthotomus","8073"
"1425","Ortygospiza","10425"
"1426","Ortyxelos","1698"
"1427","Oryzoborus","11740"
"1428","Otidiphaps","2335"
"1429","Otis","1441"
"1430","Otus","3143"
"1431","Oxylabes","8405"
"1432","Oxypogon","3916"
"1433","Oxyruncus","4954"
"1434","Oxyura","631"
"1435","Pachycare","6924"
"1436","Pachycephala","6973"
"1437","Pachycephalopsis","7552"
"1438","Pachycoccyx","3009"
"1439","Pachyptila","695"
"1440","Pachyramphus","4923"
"1441","Pagodroma","687"
"1442","Pagophila","2016"
"1443","Palmeria","10873"
"1444","Pandion","1145"
"1445","Panterpe","3719"
"1446","Panurus","8859"
"1447","Panyptila","3564"
"1448","Papasula","1010"
"1449","Parabuteo","1352"
"1450","Paradigalla","7492"
"1451","Paradisaea","7525"
"1452","Paradoxornis","8881"
"1453","Paramythia","6602"
"1454","Pardalotus","6488"
"1455","Pardirallus","1612"
"1456","Parisoma","8545"
"1457","Parkerthraustes","11836"
"1458","Parmoptila","10340"
"1459","Paroaria","11360"
"1460","Parophasma","8832"
"1461","Paroreomyza","10864"
"1462","Parotia","7503"
"1463","Parula","10891"
"1464","Parus","7648"
"1465","Passer","10185"
"1466","Passerculus","11234"
"1467","Passerella","11209"
"1468","Passerina","11868"
"1469","Patagioenas","2187"
"1470","Patagona","3874"
"1471","Pauxi","158"
"1472","Pavo","419"
"1473","Pedionomus","1832"
"1474","Pelagodroma","779"
"1475","Pelargopsis","4103"
"1476","Pelecanoides","805"
"1477","Pelecanus","1005"
"1478","Peliperdix","264"
"1479","Pellorneum","8555"
"1480","Peltops","6787"
"1481","Penelope","138"
"1482","Penelopides","4280"
"1483","Penelopina","150"
"1484","Peneoenanthe","7540"
"1485","Peneothello","7538"
"1486","Percnostola","5671"
"1487","Perdicula","326"
"1488","Perdix","305"
"1489","Pericrocotus","6902"
"1490","Periparus","7620"
"1491","Periporphyrus","11838"
"1492","Perisoreus","7330"
"1493","Perissocephalus","4994"
"1494","Permivora","10878"
"1495","Pernis","1166"
"1496","Petrochelidon","7785"
"1497","Petroica","7572"
"1498","Petronia","10187"
"1499","Petrophassa","2250"
"1500","Peucedramus","10636"
"1501","Pezopetes","11314"
"1502","Pezophaps","2130"
"1503","Pezoporus","2635"
"1504","Phacellodomus","6039"
"1505","Phacelloromus","6034"
"1506","Phaenicophaeus","2983"
"1507","Phaenicophilus","11810"
"1508","Phaenostictus","5719"
"1509","Phaeomyias","5079"
"1510","Phaeothlypis","11010"
"1511","Phaethon","986"
"1512","Phaethornis","3631"
"1513","Phaetusa","2060"
"1514","Phainopepla","7591"
"1515","Phainoptila","7588"
"1516","Phalacrocorax","1036"
"1517","Phalaenoptilus","3373"
"1518","Phalaropus","1935"
"1519","Phalcoboenus","1082"
"1520","Phapitreron","2342"
"1521","Phaps","2237"
"1522","Pharomachrus","4050"
"1523","Phasianus","402"
"1524","Phedina","7696"
"1525","Phegornis","1817"
"1526","Phelpsia","5402"
"1527","Pheucticus","11829"
"1528","Phibalura","4930"
"1529","Phigys","2563"
"1530","Philemon","6370"
"1531","Philentoma","6669"
"1532","Philepitta","4806"
"1533","Philesturnus","6607"
"1534","Philetairus","10158"
"1535","Philohydor","5409"
"1536","Philomachus","1932"
"1537","Philortyx","187"
"1538","Philydor","6095"
"1539","Phimosus","885"
"1540","Phlegopsis","5717"
"1541","Phleocryptes","6042"
"1542","Phlogophilus","3827"
"1543","Phlogothraupis","11430"
"1544","Phodilus","3090"
"1545","Phoebastria","665"
"1546","Phoebetria","670"
"1547","Phoenicircus","4959"
"1548","Phoenicopterus","838"
"1549","Phoeniculus","4238"
"1550","Phoenicurus","9691"
"1551","Pholia","9357"
"1552","Pholidornis","8506"
"1553","Phonygammus","7490"
"1554","Phragmacia","8003"
"1555","Phrygilus","11629"
"1556","Phylidonyris","6421"
"1557","Phyllanthus","8833"
"1558","Phyllastrephus","8178"
"1559","Phyllolais","8009"
"1560","Phyllomyias","5018"
"1561","Phylloscartes","5134"
"1562","Phylloscopus","8478"
"1563","Phytotoma","4938"
"1564","Piaya","2995"
"1565","Pica","7409"
"1566","Picathartes","7579"
"1567","Picoides","4607"
"1568","Piculus","4631"
"1569","Picumnus","4506"
"1570","Picus","4697"
"1571","Piezorhina","11645"
"1572","Pilherodius","963"
"1573","Pinarocorys","7856"
"1574","Pinaroloxias","11776"
"1575","Pinarornis","9776"
"1576","Pinguinus","2087"
"1577","Pinicola","10810"
"1578","Pionites","2821"
"1579","Pionopsitta","2829"
"1580","Pionus","2842"
"1581","Pipile","146"
"1582","Pipilo","11288"
"1583","Pipra","4895"
"1584","Pipraeidea","11482"
"1585","Pipreola","4953"
"1586","Piprites","5001"
"1587","Piranga","11801"
"1588","Pitangus","5408"
"1589","Pithecophaga","1398"
"1590","Pithys","5699"
"1591","Pitohui","7133"
"1592","Pitta","4844"
"1593","Pittasoma","5809"
"1594","Pityriasis","6788"
"1595","Platalea","897"
"1596","Platycercus","2616"
"1597","Platycichla","9468"
"1598","Platylophus","7326"
"1599","Platypsaris","4928"
"1600","Platyrinchus","5245"
"1601","Platysmurus","7327"
"1602","Platysteira","6664"
"1603","Plectorhyncha","6371"
"1604","Plectrophenax","11207"
"1605","Plectropterus","486"
"1606","Plegadis","890"
"1607","Plocepasser","10154"
"1608","Ploceus","10287"
"1609","Pluvialis","1773"
"1610","Pluvianellus","1712"
"1611","Pluvianus","1937"
"1612","Pnoepyga","8621"
"1613","Podager","3363"
"1614","Podargus","3324"
"1615","Podica","1654"
"1616","Podiceps","829"
"1617","Podilymbus","813"
"1618","Podoces","7414"
"1619","Poecile","7612"
"1620","Poecilodryas","7534"
"1621","Poecilotriccus","5215"
"1622","Poeoptera","9356"
"1623","Poephila","10440"
"1624","Pogoniulus","4422"
"1625","Pogonocichla","9589"
"1626","Pogonotriccus","5117"
"1627","Poicephalus","2704"
"1628","Polemaetus","1422"
"1629","Polihierax","1098"
"1630","Poliocephalus","819"
"1631","Poliolais","8076"
"1632","Polioptila","9151"
"1633","Polioxolmis","5371"
"1634","Polyboroides","1260"
"1635","Polyonymus","3909"
"1636","Polyplectron","412"
"1637","Polysticta","600"
"1638","Polystictus","5082"
"1639","Polytelis","2665"
"1640","Polytmus","3756"
"1641","Pomarea","7251"
"1642","Pomatorhinus","8597"
"1643","Pomatostomus","6579"
"1644","Pooecetes","11255"
"1645","Poospiza","11667"
"1646","Poospizopsis","11668"
"1647","Popelairia","3693"
"1648","Porphyrio","1630"
"1649","Porphyrolaema","4983"
"1650","Porphyrospiza","11278"
"1651","Porzana","1605"
"1652","Premnoplex","6054"
"1653","Premnornis","6051"
"1654","Primolius","2722"
"1655","Prinia","8000"
"1656","Prioniturus","2652"
"1657","Prionochilus","9948"
"1658","Prionodura","6219"
"1659","Prionops","6680"
"1660","Priotelus","4017"
"1661","Probosciger","2507"
"1662","Procellaria","740"
"1663","Procelsterna","2065"
"1664","Procnias","4970"
"1665","Prodotiscus","4457"
"1666","Progne","7720"
"1667","Promerops","8889"
"1668","Prosobonia","1905"
"1669","Prosopeia","2592"
"1670","Prosthemadera","6348"
"1671","Protonotaria","10928"
"1672","Prunella","10543"
"1673","Psalidoprocne","7692"
"1674","Psaltria","7799"
"1675","Psaltriparus","7802"
"1676","Psarisomus","4795"
"1677","Psarocolius","11033"
"1678","Pselliophorus","11353"
"1679","Psephotus","2624"
"1680","Pseudalaemon","7890"
"1681","Pseudelaenia","5095"
"1682","Pseudeos","2540"
"1683","Pseudhirundo","7693"
"1684","Pseudibis","869"
"1685","Pseudoalcippe","8582"
"1686","Pseudobias","6763"
"1687","Pseudobulweria","735"
"1688","Pseudocalyptomena","4803"
"1689","Pseudochelidon","7679"
"1690","Pseudocolaptes","6067"
"1691","Pseudocolopteryx","5087"
"1692","Pseudocossyphus","9792"
"1693","Pseudoleistes","11107"
"1694","Pseudonestor","10845"
"1695","Pseudonigrita","10157"
"1696","Pseudoscops","3311"
"1697","Pseudoseisura","6064"
"1698","Pseudotriccus","5090"
"1699","Psilopogon","4372"
"1700","Psilopsiagon","2790"
"1701","Psilorhamphus","5743"
"1702","Psittacella","2639"
"1703","Psittacula","2681"
"1704","Psittaculirostris","2885"
"1705","Psittacus","2693"
"1706","Psitteuteles","2556"
"1707","Psittinus","2640"
"1708","Psittirostra","10839"
"1709","Psittrichas","2486"
"1710","Psophia","1660"
"1711","Psophocichla","9470"
"1712","Psophodes","6615"
"1713","Pteridophora","7504"
"1714","Pternistis","302"
"1715","Pterocles","2126"
"1716","Pterocnemia","60"
"1717","Pterodroma","730"
"1718","Pteroglossus","4332"
"1719","Pteronetta","511"
"1720","Pterophanes","3873"
"1721","Pteroptochos","5737"
"1722","Pteruthius","8791"
"1723","Ptilinopus","2425"
"1724","Ptilocichla","8606"
"1725","Ptilogonys","7590"
"1726","Ptilonorhynchus","6224"
"1727","Ptilopachus","255"
"1728","Ptiloprora","6398"
"1729","Ptilopsis","3176"
"1730","Ptiloris","7509"
"1731","Ptilorrhoa","6619"
"1732","Ptilostomus","7422"
"1733","Ptychoramphus","2100"
"1734","Ptyonoprogne","7757"
"1735","Ptyrticus","8583"
"1736","Pucrasia","367"
"1737","Puffinus","770"
"1738","Pulsatrix","3229"
"1739","Purpureicephalus","2605"
"1740","Pycnonotus","8125"
"1741","Pycnoptilus","6490"
"1742","Pycnopygius","6351"
"1743","Pygarrhichas","6129"
"1744","Pygiptila","5554"
"1745","Pygoscelis","638"
"1746","Pyrenestes","10368"
"1747","Pyrgilauda","10199"
"1748","Pyriglena","5653"
"1749","Pyrocephalus","5317"
"1750","Pyroderus","4993"
"1751","Pyrrhocoma","11410"
"1752","Pyrrhocorax","7421"
"1753","Pyrrholaemus","6500"
"1754","Pyrrhomyias","5267"
"1755","Pyrrhoplectes","10835"
"1756","Pyrrhula","10825"
"1757","Pyrrhura","2784"
"1758","Pyrroglaux","3173"
"1759","Pytilia","10355"
"1760","Quelea","10304"
"1761","Querula","4991"
"1762","Quiscalus","11138"
"1763","Rallina","1506"
"1764","Rallus","1552"
"1765","Ramphastos","4355"
"1766","Ramphocaenus","9133"
"1767","Ramphocelus","11439"
"1768","Ramphocinclus","9223"
"1769","Ramphocoris","7861"
"1770","Ramphodon","3589"
"1771","Ramphomicron","3911"
"1772","Ramphotrigon","5474"
"1773","Ramsayornis","6424"
"1774","Randia","8415"
"1775","Raphus","2129"
"1776","Recurvirostra","1742"
"1777","Regulus","9023"
"1778","Reinwardtipicus","4712"
"1779","Reinwardtoena","2220"
"1780","Remiz","7666"
"1781","Rhabdornis","9233"
"1782","Rhagologus","6925"
"1783","Rhamphocharis","6595"
"1784","Rhamphococcyx","2977"
"1785","Rhaphidura","3534"
"1786","Rhea","58"
"1787","Rhegmatorhina","5709"
"1788","Rheinardia","415"
"1789","Rhinocrypta","5740"
"1790","Rhinomyias","9820"
"1791","Rhinoplax","4276"
"1792","Rhinopomastus","4241"
"1793","Rhinoptilus","1946"
"1794","Rhinortha","2973"
"1795","Rhipidura","7211"
"1796","Rhizothera","307"
"1797","Rhodacanthis","10843"
"1798","Rhodinocichla","11818"
"1799","Rhodonessa","584"
"1800","Rhodopechys","10774"
"1801","Rhodophoneus","6698"
"1802","Rhodopis","3954"
"1803","Rhodospingus","11618"
"1804","Rhodospiza","10777"
"1805","Rhodostethia","2017"
"1806","Rhodothraupis","11837"
"1807","Rhopocichla","8663"
"1808","Rhopophilus","7975"
"1809","Rhopornis","5654"
"1810","Rhyacornis","9694"
"1811","Rhynchocyclus","5229"
"1812","Rhynchopsitta","2725"
"1813","Rhynchortyx","211"
"1814","Rhynchostruthus","10694"
"1815","Rhynchotus","37"
"1816","Rhynochetos","1477"
"1817","Rhyticeros","4291"
"1818","Rhytipterna","5439"
"1819","Ridgwayia","9426"
"1820","Rimator","8603"
"1821","Riparia","7701"
"1822","Rissa","2021"
"1823","Rollandia","817"
"1824","Rollulus","354"
"1825","Roraimia","6055"
"1826","Rostratula","1820"
"1827","Rostrhamus","1180"
"1828","Rougetius","1562"
"1829","Rowettia","11638"
"1830","Rukia","8992"
"1831","Rupicola","4957"
"1832","Ruwenzorornis","2905"
"1833","Rynchops","2072"
"1834","Sagittarius","1144"
"1835","Sakesphorus","5497"
"1836","Salpinctes","9043"
"1837","Salpornis","9189"
"1838","Saltator","11855"
"1839","Saltatricula","11614"
"1840","Salvadorina","508"
"1841","Sapheopipo","4709"
"1842","Sappho","3908"
"1843","Sarcogyps","1214"
"1844","Sarcops","9272"
"1845","Sarcoramphus","1073"
"1846","Sarkidiornis","489"
"1847","Saroglossa","9278"
"1848","Sarothrura","1490"
"1849","Sasia","4509"
"1850","Satrapa","5336"
"1851","Saxicola","9727"
"1852","Saxicoloides","9680"
"1853","Sayornis","5281"
"1854","Scardafella","2264"
"1855","Sceloglaux","3309"
"1856","Scelorchilus","5739"
"1857","Scenopoeetes","6212"
"1858","Schetba","6754"
"1859","Schiffornis","4903"
"1860","Schistes","3945"
"1861","Schistochlamys","11364"
"1862","Schistocichla","5674"
"1863","Schistolais","8002"
"1864","Schizoeaca","5931"
"1865","Schoenicola","8259"
"1866","Schoeniophylax","5961"
"1867","Schoutedenapus","3525"
"1868","Scissirostrum","9276"
"1869","Sclateria","5667"
"1870","Scleroptila","274"
"1871","Sclerurus","6121"
"1872","Scolopax","1846"
"1873","Scopus","994"
"1874","Scotocerca","7974"
"1875","Scotopelia","3203"
"1876","Scytalopus","5789"
"1877","Scythrops","3016"
"1878","Seicercus","8489"
"1879","Seiurus","10933"
"1880","Selasphorus","3991"
"1881","Selenidera","4339"
"1882","Seleucidis","7518"
"1883","Semioptera","7517"
"1884","Semnornis","4371"
"1885","Sephanoides","3876"
"1886","Sericornis","6519"
"1887","Sericossypha","11370"
"1888","Sericulus","6223"
"1889","Serilophus","4797"
"1890","Serinus","10690"
"1891","Serpophaga","5077"
"1892","Setophaga","10927"
"1893","Setornis","8196"
"1894","Sheppardia","9605"
"1895","Sialia","9430"
"1896","Sicalis","11686"
"1897","Sigelus","9808"
"1898","Simoxenops","6078"
"1899","Siphonorhis","3375"
"1900","Sipodotus","6243"
"1901","Siptornis","6047"
"1902","Siptornopsis","5999"
"1903","Sirystes","5441"
"1904","Sitta","9179"
"1905","Sittasomus","6143"
"1906","Skutchia","5718"
"1907","Smicrornis","6521"
"1908","Smithornis","4790"
"1909","Snowornis","4982"
"1910","Somateria","605"
"1911","Spartonoica","6041"
"1912","Speculanas","522"
"1913","Speculipastor","9359"
"1914","Speirops","9012"
"1915","Spelaeornis","8629"
"1916","Spermophaga","10372"
"1917","Sphecotheres","7088"
"1918","Spheniscus","653"
"1919","Sphenocichla","8631"
"1920","Sphenoeacus","8326"
"1921","Sphyrapicus","4538"
"1922","Spiloptila","8008"
"1923","Spilornis","1237"
"1924","Spindalis","11817"
"1925","Spizaetus","1437"
"1926","Spizella","11254"
"1927","Spiziapteryx","1096"
"1928","Spizixos","8079"
"1929","Spizocorys","7886"
"1930","Sporophila","11733"
"1931","Sporopipes","10207"
"1932","Spreo","9342"
"1933","Stachyris","8660"
"1934","Stactolaema","4410"
"1935","Stagonopleura","10429"
"1936","Starnoenas","2313"
"1937","Steatornis","3339"
"1938","Stelgidopteryx","7732"
"1939","Stellula","3992"
"1940","Stenostira","9849"
"1941","Stephanoaetus","1438"
"1942","Stephanophorus","11475"
"1943","Stephanoxis","3677"
"1944","Stercorarius","2081"
"1945","Sterna","2056"
"1946","Sternoclyta","3842"
"1947","Stictonetta","476"
"1948","Stigmatura","5099"
"1949","Stiltia","1947"
"1950","Stiphrornis","9594"
"1951","Stipiturus","6267"
"1952","Stizorhina","9367"
"1953","Strepera","6785"
"1954","Streptocitta","9274"
"1955","Streptopelia","2206"
"1956","Streptoprocne","3485"
"1957","Stresemannia","6402"
"1958","Strigops","2484"
"1959","Strix","3224"
"1960","Struthidea","7476"
"1961","Struthio","56"
"1962","Sturnella","11146"
"1963","Sturnus","9310"
"1964","Stymphalornis","5622"
"1965","Sublegatus","5147"
