"id","familieID","danskArt","latinArt","engelskArt","artSort"
"3395","562","Lyshaget Sejler","cryptus ","White-chinned Swift","34740"
"3396","562","Lyspandet Sejler","storeri ","White-fronted Swift","34750"
"3397","562","Sodfarvet Sejler","fumigatus ","Sooty Swift","34760"
"3398","562","Argentinsk Sejler","rothschildi ","Rothschild's Swift","34770"
"3399","562","Sortsejler","niger ","American Black Swift","34780"
"3400","562","Caucasejler","lemosi ","White-chested Swift","34790"
"3401","562","Skælhovedet Sejler","senex ","Great Dusky Swift","34800"
"3402","562","Tepuísejler","phelpsi ","Tepui Swift","34810"
"3403","562","Rødkravet Sejler","rutilus ","Chestnut-collared Swift","34820"
"3404","1956","Hvidkravet Sejler","zonaris ","White-collared Swift","34830"
"3405","1956","Skjoldsejler","biscutata ","Biscutate Swift","34840"
"3406","1956","Hvidnakket Sejler","semicollaris ","White-naped Swift","34850"
"3407","920","Kaskadesejler","gigas ","Giant Swiftlet","34860"
"3408","466","Glanssalangan","esculenta ","Glossy Swiftlet","34870"
"3409","466","Hvidbuget Salangan","esculenta affinis","White-bellied Swiftlet","34880"
"3410","466","Luzonsalangan","esculenta marginata","Grey-rumped Swiftlet","34890"
"3411","466","Sundasalangan","linchi ","Cave Swiftlet","34900"
"3412","466","Dværgsalangan","troglodytes ","Pygmy Swiftlet","34910"
"3413","33","Seychellersalangan","elaphrus ","Seychelles Swiftlet","34920"
"3414","33","Mascarenersalangan","francicus ","Mascarene Swiftlet","34930"
"3415","33","Indisk Salangan","unicolor ","Indian Swiftlet","34940"
"3416","33","Filippinsk Salangan","mearnsi ","Philippine Swiftlet","34950"
"3417","33","Moluksalangan","infuscatus ","Moluccan Swiftlet","34960"
"3418","33","Bjergsalangan","hirundinaceus ","Mountain Swiftlet","34970"
"3419","33","Hvidgumpet Salangan","spodiopygius ","White-rumped Swiftlet","34980"
"3420","33","Australsk Salangan","terraereginae ","Australian Swiftlet","34990"
"3421","33","Chillagoesalangan","chillagoensis ","Chillagoe Swiftlet","35000"
"3422","33","Himalayasalangan","brevirostris ","Himalayan Swiftlet","35010"
"3423","33","Kinasalangan","brevirostris innominata","Chinese Swiftlet","35020"
"3424","33","Thaisalangan","brevirostris rogersi","Indochinese Swiftlet","35030"
"3425","33","Javasalangan","vulcanorum ","Volcano Swiftlet","35040"
"3426","33","Sorthovedet Salangan","whiteheadi ","Whitehead's Swiftlet","35050"
"3427","33","Nøgenbenet Salangan","nuditarsus ","Bare-legged Swiftlet","35060"
"3428","33","Salomonsalangan","orientalis ","Mayr's Swiftlet","35070"
"3429","33","Salangan","salangana ","Mossy-nest Swiftlet","35080"
"3430","33","Ensfarvet Salangan","vanikorensis ","Uniform Swiftlet","35090"
"3431","33","Grå Salangan","vanikorensis amelis","Grey Swiftlet","35100"
"3432","33","Palawansalangan","palawanensis ","Palawan Swiftlet","35110"
"3433","33","Palausalangan","pelewensis ","Palau Swiftlet","35120"
"3434","33","Guamsalangan","bartschi ","Mariana Swiftlet","35130"
"3435","33","Carolinersalangan","inquieta ","Island Swiftlet","35140"
"3436","33","Tahitisalangan","leucophaeus ","Tahiti Swiftlet","35150"
"3437","33","Atiusalangan","sawtelli ","Atiu Swiftlet","35160"
"3438","33","Marquesassalangan","ocistus ","Marquesan Swiftlet","35170"
"3439","33","Malajsalangan","maximus ","Black-nest Swiftlet","35180"
"3440","33","Grågumpet Salangan","fuciphagus ","Edible-nest Swiftlet","35190"
"3441","33","Andamansalangan","fuciphagus inexpectatus","Edible-nest Swiftlet","35200"
"3442","33","Brungumpet Salangan","fuciphagus vestitus","Brown-rumped Swiftlet","35210"
"3443","33","Kystsalangan","germani ","German's Swiftlet","35220"
"3444","33","Tretået Salangan","papuensis ","Three-toed Swiftlet","35230"
"3445","1867","Tågeskovssejler","myoptilus ","Scarce Swift","35240"
"3446","1867","Itombwesejler","schoutedeni ","Schouteden's Swift","35250"
"3447","1138","Hvidvinget Tornhalesejler","picina ","Philippine Spine-tailed Swift","35260"
"3448","1138","Papuatornhalesejler","novaeguineae ","Papuan Spine-tailed Swift","35270"
"3449","2185","Madagaskarflagermussejler","grandidieri ","Madagascar Spinetail","35280"
"3450","2185","Sâo Tomé-flagermussejler","thomensis ","Sao Tome Spinetail","35290"
"3451","2185","Indisk Flagermussejler","sylvatica ","White-rumped Spinetail","35300"
"3452","2006","Baobabtornhalesejler","ussheri ","Mottled Spinetail","35310"
"3453","2006","Sort Tornhalesejler","melanopygia ","Black Spinetail","35320"
"3454","1785","Hvidgumpet Flagermussejler","leucopygialis ","Silver-rumped Spinetail","35330"
"3455","1785","Hvidhalet Flagermussejler","sabini ","Sabine's Spinetail","35340"
"3456","1297","Hvidbåndet Flagermussejler","cassini ","Cassin's Spinetail","35350"
"3457","1297","Korthalet Flagermussejler","boehmi ","Bat-like Spinetail","35360"
"3458","909","Tornhalesejler","caudacutus ","White-throated Needletail","35370"
"3459","909","Sølvrygget Tornhalesejler","cochinchinensis ","Silver-backed Needletail","35380"
"3460","909","Hvidbuget Tornhalesejler","cochinchinensis rupchandi","Rupchand's Needletail","35390"
"3461","909","Kæmpetornhalesejler","giganteus ","Brown-backed Needletail","35400"
"3462","909","Purpurtornhalesejler","celebensis ","Purple Needletail","35410"
"3463","349","Antiltornhalesejler","martinica ","Lesser Antillean Swift","35420"
"3464","349","Lysbuget Tornhalesejler","spinicaudus ","Band-rumped Swift","35430"
"3465","349","Costa Rica-Tornhalesejler","fumosa ","Costa Rican Swift","35440"
"3466","349","Lysgumpet Tornhalesejler","egregia ","Pale-rumped Swift","35450"
"3467","349","Grågumpet Tornhalesejler","cinereiventris ","Grey-rumped Swift","35460"
"3468","349","Asketornhalesejler","cinereiventris sclateri","Ash-rumped Swift","35470"
"3469","349","Brun Tornhalesejler","vauxi ","Vaux's Swift","35480"
"3470","349","Mørkrygget Tornhalesejler","vauxi richmondi","Dusky-backed Swift","35490"
"3471","349","Yucatántornhalesejler","vauxi gaumeri","Yucatan Swift","35500"
"3472","349","Gråhalet Tornhalesejler","meridionalis ","Ashy-tailed Swift","35510"
